net,length_um
_0766_,576.71
_0740_,564.53
_0764_,548.95
_0996_,525.54
_0759_,504.85
net41,491.2
_0737_,489.25
_0734_,486.24
_0743_,481.79
_0742_,477.485
_0694_,477.38
_0747_,474.95
_0738_,470.695
_0736_,461.475
_0739_,453.45
_0731_,442.16
_0763_,441.755
clknet_0_clock,438.38
_0744_,434.43
_0797_,427.76
_0735_,425.88
_0652_,424.175
_0745_,421.61
_0983_,420.62
_0926_,413.27
_0761_,412.54
_0732_,410.7
_0875_,408.23
_0760_,407.29
net3,400.18
_0874_,399.2
_0733_,398.095
_0930_,395.4
net40,385.02
_0925_,382.8
_0936_,382.71
_0762_,381.68
_0934_,378.22
_0693_,378.05
_0767_,377.35
_0932_,375.39
_0939_,370.98
_0938_,361.4
_1807_,358.38
_0927_,347.93
_1169_,342.78
_0713_,341.25
_2005_,340.84
_0712_,332.2
_1110_,330.52
_1805_,319.29
_1806_,315.99
_1042_,309.11
_1098_,300.67
_1109_,295
_1702_,294.42
_0010_,290.72
_1841_,290.33
_1669_,288.72
_1540_,287.065
fifo1.soft_reset,284.58
_1849_,283.14
_1557_,280.34
fifo2.soft_reset,273.54
_0765_,270.06
_1864_,267.57
_1005_,267.42
_1183_,265.86
clknet_3_1__leaf_clock,262.65
_0008_,262.46
net13,256.73
clknet_3_2__leaf_clock,256
clock,253.93
net11,253.12
_0768_,253
_0963_,251.18
_1804_,248.57
_0790_,248.51
_1893_,246.55
_0757_,246.48
_1233_,246.16
_1830_,245.88
_1828_,242.86
_0799_,241.88
_1437_,241.395
clknet_3_6__leaf_clock,241.27
_1317_,240.93
clknet_3_3__leaf_clock,240.28
_1339_,237.84
_0856_,236.82
_1104_,231.82
net42,231.08
_1178_,230.78
_1835_,230.34
net9,230.2
_1832_,230.06
_1144_,229.12
_1176_,228.73
_1539_,227.275
_0692_,225.32
_1562_,225.29
clknet_3_5__leaf_clock,225.2
_0956_,223.95
_2004_,222.9
_1141_,221.96
_1569_,220.57
net12,217.42
_1556_,216.62
_1558_,215.61
_1107_,214.56
clknet_3_7__leaf_clock,213.62
_0974_,212.89
_1296_,210
_1436_,208.93
_1108_,208.57
net10,207.945
_0857_,207.76
_0981_,205.71
_1120_,204.64
_0438_,204.535
_1827_,203.4
_1857_,201.78
_1846_,201.65
_1550_,200.86
_1486_,200.78
clknet_3_4__leaf_clock,199.84
_0715_,198.5
_1838_,198.18
_1485_,197.46
_1567_,194.59
_0002_,193.1
_1121_,191.17
_1182_,190.71
clknet_3_0__leaf_clock,190.49
_0869_,187.595
_1177_,186.12
_1105_,185.18
_1491_,183.28
_0783_,183.02
_0825_,180.6
_1812_,179.835
_0789_,179.19
_0746_,178.93
_1582_,178.63
_1188_,178.15
_1420_,175.72
_1570_,168.72
net2,167.97
net6,167.73
_1125_,166.42
_1102_,165.9
_1282_,165.47
_1106_,164.67
_0628_,164.54
_1189_,164.41
_1942_,163.5
_0725_,163.49
_0858_,162.76
_0515_,162.625
net7,162.55
_1438_,161.92
net30,161.22
_1320_,159.22
_1481_,159.14
_1862_,158.25
_0433_,158.185
clknet_leaf_49_clock,155.17
_1916_,154.88
_1114_,153.6
_1203_,153.18
_1492_,152.79
_1483_,151.05
fifo3.soft_reset,150.41
_0617_,149.7
_0921_,149.18
_0851_,148.73
_0867_,147.76
net8,147.5
_0659_,146.13
_1221_,145.22
_1416_,145.03
_1976_,143
_1126_,142.96
_1232_,142.6
_1035_,142.41
_1295_,142.06
